voter_name,affiliation,award,name,value,points,avgPoints,diff,diffSquared,ballot
Chris Mannix,Sports Illustrated,COY,x2nd_Place_3_points,"Tom Thibodeau, New York",3,0.595959596,2.404040404,5.779410264,COY
Chris Mannix,Sports Illustrated,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Jeff McDonald,San Antonio Express-News,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Jeff McDonald,San Antonio Express-News,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Jeff McDonald,San Antonio Express-News,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Steve McGehee,News 9,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Steve McGehee,News 9,COY,x2nd_Place_3_points,"Tom Thibodeau, New York",3,0.595959596,2.404040404,5.779410264,COY
Steve McGehee,News 9,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Dave McMenamin,ESPN,COY,x1st_Place_5_points,"Jamahl Mosley, Orlando",5,1.595959596,3.404040404,11.58749107,COY
Dave McMenamin,ESPN,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Dave McMenamin,ESPN,COY,x3rd_Place_1_points,"Mark Daigneault, Oklahoma City",1,4.777777778,-3.777777778,14.27160494,COY
Chao Meng,ESPN (China),COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Chao Meng,ESPN (China),COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Chao Meng,ESPN (China),COY,x3rd_Place_1_points,"Tom Thibodeau, New York",1,0.595959596,0.404040404,0.163248648,COY
Jonathan Mitchell Fuentes,Cignal,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Jonathan Mitchell Fuentes,Cignal,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Jonathan Mitchell Fuentes,Cignal,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Yoko Miyaji,Sports Graphic Number,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Yoko Miyaji,Sports Graphic Number,COY,x2nd_Place_3_points,"Tom Thibodeau, New York",3,0.595959596,2.404040404,5.779410264,COY
Yoko Miyaji,Sports Graphic Number,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Yoav Modai,Sport 5,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Yoav Modai,Sport 5,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Yoav Modai,Sport 5,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Eric Nehm,The Athletic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Eric Nehm,The Athletic,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Eric Nehm,The Athletic,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Rachel Nichols,SHO,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Rachel Nichols,SHO,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Rachel Nichols,SHO,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Kevin O'Connor,The Ringer,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Kevin O'Connor,The Ringer,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Kevin O'Connor,The Ringer,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Chiney Ogwumike,ESPN,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Chiney Ogwumike,ESPN,COY,x2nd_Place_3_points,"Joe Mazzulla, Boston",3,0.797979798,2.202020202,4.84889297,COY
Chiney Ogwumike,ESPN,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Candace Parker,WarnerMedia,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Candace Parker,WarnerMedia,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Candace Parker,WarnerMedia,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Dave Pasch,ESPN,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Dave Pasch,ESPN,COY,x2nd_Place_3_points,"Joe Mazzulla, Boston",3,0.797979798,2.202020202,4.84889297,COY
Dave Pasch,ESPN,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Kevin Pelton,ESPN,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Kevin Pelton,ESPN,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Kevin Pelton,ESPN,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Kendrick Perkins,ESPN,COY,x1st_Place_5_points,"Tom Thibodeau, New York",5,0.595959596,4.404040404,19.39557188,COY
Kendrick Perkins,ESPN,COY,x2nd_Place_3_points,"Mark Daigneault, Oklahoma City",3,4.777777778,-1.777777778,3.160493827,COY
Kendrick Perkins,ESPN,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Michael Pina,The Ringer,COY,x1st_Place_5_points,"Joe Mazzulla, Boston",5,0.797979798,4.202020202,17.65697378,COY
